;city;Average Occupancy;Average Flow;BiParabolic Model - CD;BiParabolic Model - Max Flow;BiParabolic Model - Vertex Flow;MultiTaskPINN Model - CD;MultiTaskPINN Model - Max Flow;MultiTaskPINN Model - Vertex Flow;MAML Model (75) - CD;MAML Model (75)- Max Flow;MAML Model (75)- Vertex Flow;MAML Model (50) - CD;MAML Model (50)- Max Flow;MAML Model (50)- Vertex Flow;MAML Model (25) - CD;MAML Model (25)- Max Flow;MAML Model (25)- Vertex Flow;MAML Model (10) - CD;MAML Model (10)- Max Flow;MAML Model (10)- Vertex Flow
0;Augsburg;0,30350934010497715;0,45192894867910804;0,7678330540657043;0,9649686813354492;0,9092932343482972;0,8866111040115356;0,9743654727935792;0,8916715309023859;0,9205768182873726;0,9068164080381393;0,861202923115343;0,9173544645309448;0,9165410399436951;0,8775974575962341;0,8846634984016418;0,9082628488540649;0,8655903533101081;0,8870795249938965;0,9186633706092835;0,834031967818737
1;Basel;;;0,7153618335723877;0,9691624641418456;0,8666351437568665;0,7751097679138184;0,9437453746795654;0,8728047460317612;;;;;;;;;;;;
2;Bern;0,3844657601863003;0,4505167050216864;0,9211502075195312;0,9749187231063844;0,9617840647697448;0,949999988079071;0,9833579659461976;0,8560279309749605;0,9356871332441058;0,9049378463200161;0,8542183344917638;0,9168892247336251;0,9020556552069527;0,8645487810884204;0,883347898721695;0,8987991611162821;0,8477209229022266;0,914900541305542;0,8945695400238037;0,8178140193223953
3;Bordeaux;0,3232147268994717;0,5383617826237096;0,8787664175033569;0,9827721118927002;0,9519968628883362;0,8058885335922241;0,9782239198684692;0,9503921810537578;0,9222951754927635;0,9206488057971001;0,8850958861876279;0,9173017144203186;0,9055337054388863;0,8627242054790258;0,8663683533668518;0,9001738667488098;0,844421561807394;0,9201534787813822;0,8873234589894613;0,7956472672522068
4;Bremen;0,36123306558529156;0,47070254062742867;0,9185439348220824;0,962180495262146;0,93786883354187;0,9500000476837158;0,9879854321479796;0,8788326978683472;0,9237907462649875;0,9108488029903836;0,8680122205987573;0,9335372745990752;0,9172732532024384;0,8776319455355406;0,8856272548437119;0,8986802250146866;0,8390890499576927;0,8857842258044651;0,8672666719981602;0,7738898920693569
5;Cagliari;;;0,5526190996170044;0,9181207418441772;0,659853458404541;0,7866445779800415;0,8424467444419861;0,7362764552235603;;;;;;;;;;;;
6;Constance;;;0,8690481185913086;0,9723279476165771;0,9272671341896056;0,9500000476837158;0,9771386384963988;0,8454671353101729;;;;;;;;;;;;
7;Darmstadt;0,3127103610875046;0,469440634885514;0,7238412499427795;0,9595237374305724;0,834382176399231;0,8842023611068726;0,9518853425979614;0,8424308747053147;0,9108338952064514;0,9019673466682434;0,8667617412284017;0,9178374475902982;0,8956237037976583;0,8468547616567876;0,918623549597604;0,9123702815600804;0,8623254421566214;0,9224873681863149;0,885706494251887;0,7830382014314333
8;Essen;;;0,4317982792854309;0,8687534928321838;0,6881399154663086;0,8436164855957031;0,8583719730377197;0,8119056038558483;;;;;;;;;;;;
9;Frankfurt;;;0,9010046124458312;0,9848549365997314;0,9556962847709656;0,9482269883155824;0,978158473968506;0,9694499205797913;;;;;;;;;;;;
10;Graz;0,4044471128548206;0,5858934465501789;0,8906835317611694;0,9722169637680054;0,9238381385803224;0,921288013458252;0,9738409519195556;0,9297670237720012;0,9380661845207214;0,9115915417671203;0,8658861212432385;0,9233031213283539;0,9061583518981934;0,8663172513246536;0,9193579128810337;0,8984199677194867;0,8480524465973888;0,924663609928555;0,8885423342386881;0,803366071648068
11;Hamburg;0,28137542888409667;0,46458016205428615;0,701235294342041;0,9640216827392578;0,8714847564697266;0,8327653408050537;0,9446890354156494;0,8730391338467598;0,9295102953910828;0,9031956706728254;0,8610454052686691;0,923456035554409;0,9042216315865517;0,8584792811889201;0,902775730405535;0,8928719673837934;0,8371086019490447;0,925383448600769;0,8905882409640721;0,8039446127201829
12;Kassel;0,46621472746033843;0,5813836173149487;0,8580630421638489;0,9718594551086426;0,9053601622581482;0,949999988079071;0,9604825377464294;0,8940542563796043;0,9447872809001377;0,9090332474027362;0,8652683847716877;0,9198907613754272;0,9031674563884735;0,869326007242004;0,9060979220602248;0,9015640881326463;0,8432755519946418;0,8979516966002328;0,9017819081033979;0,8204488277967487
13;London;0,4489508668061287;0,632420495039033;0,852292537689209;0,978684902191162;0,8956269025802612;0,8969153165817261;0,9729744791984558;0,9206446558237076;0,9411960482597351;0,9046704053878785;0,8633563831448555;0,9308180138468742;0,9073981568217278;0,8614437025971711;0,9251852780580521;0,9015901982784271;0,8503131419420243;0,934252507156796;0,8938211864895291;0,8026973865926266
14;Losangeles;0,43165176678522366;0,6806533643966342;0,9134182929992676;0,983403503894806;0,928736925125122;0,7944179773330688;0,9662012457847596;0,9182765372097493;0,9098818898200989;0,9233898758888245;0,8942584271542728;0,9302704135576884;0,9131830732027689;0,8755548310776552;0,8927327394485474;0,8932092905044555;0,8236071102321147;0,9248352646827698;0,9073412775993347;0,8175654008984565
15;Luzern;;;0,5778706669807434;0,9525961875915528;0,8609393835067749;0,5756247639656067;0,924139440059662;0,8832777962088587;;;;;;;;;;;;
16;Madrid;0,459851181769917;0,6762919601664873;0,8245207071304321;0,9833016395568848;0,938834011554718;0,8581642508506775;0,9781379699707032;0,9495173227041961;0,9414806663990021;0,912620022892952;0,8740118267014623;0,9367309868335724;0,8992097795009613;0,8496104026329704;0,9349713580948966;0,9026792390005929;0,8428484121603625;0,9412420272827149;0,8989048719406127;0,8241872608661651
17;Marseille;0,2857885448652811;0,5257869809507162;0,6978088617324829;0,9720813632011414;0,905148148536682;0,6879486441612244;0,9600533843040466;0,9086767546832563;0,9348925828933716;0,9020124554634095;0,8516576513648033;0,9153926769892374;0,8980230490366617;0,844429592291514;0,8818776607513428;0,9038448068830702;0,8365699189404646;0,9257759675383568;0,9063901454210281;0,8121227258816361
18;Munich;0,44860054967903457;0,6538696284583766;0,6327822208404541;0,975399911403656;0,8772029876708984;0,7417975068092346;0,9160810708999634;0,9021375374868513;;;;;;;;;;;;
19;Santander;0,38426471338733487;0,48255392715923123;0,7904367446899414;0,96165269613266;0,8710229396820068;0,949999988079071;0,9542223811149596;0,8598033711314201;0,9351570248603821;0,8974305868148804;0,8560901470482349;0,9305874228477478;0,8961100459098816;0,8425953142344953;0,9209572598338127;0,9035286456346512;0,8549046632833779;0,9189632833003998;0,8963737090428671;0,8156945537775755
20;Speyer;0,33621324405893055;0,443856959672873;0,9248826503753662;0,9739933013916016;0,9476512670516968;0,9498522877693176;0,9830124378204346;0,8891685903072357;0,9073576405644417;0,9050809666514397;0,8647763228509575;0,9099271435004014;0,8964721973125751;0,8509718598081517;0,8905653612954276;0,8987713626452855;0,8508240862616471;0,9140740036964417;0,9081539341381618;0,8180795024548259
21;Strasbourg;0,19103614081126954;0,4627879100828244;0,5662583708763123;0,9789984226226808;0,91778826713562;0,5682162642478943;0,9688547849655152;0,9417920988053086;0,9218612511952718;0,9095311363538107;0,8581159940610329;0,9070057794451714;0,8989761173725128;0,8465872765518725;0,8917540907859802;0,8995915651321411;0,839013594388962;0,8856779485940933;0,885333701968193;0,8016705823441347
22;Stuttgart;0,324939482906794;0,6167577977641251;0,5529828071594238;0,9785605669021606;0,8693088889122009;0,6276086568832397;0,9548749327659608;0,8649789839982988;0,9403040011723837;0,9169202446937561;0,8805190284426013;0,930870446893904;0,9134499563111199;0,8653039294812416;0,9122956224850246;0,894779656614576;0,835243974945375;0,9260345399379731;0,8923767954111099;0,8113967077806592
23;Taipeh;0,3578373972393396;0,5304420997244081;0,7972670197486877;0,9779030084609984;0,9421849846839904;0,9417999982833862;0,9888848066329956;0,9610005635768176;0,9361919462680817;0,8941579163074493;0,8544833231717348;0,9278012335300445;0,9067724883556366;0,8628817741759122;0,901960015296936;0,900470624367396;0,8448319931825002;0,9240372606686184;0,8787934609821865;0,8037324595664229
24;Toronto;0,2759028502458;0,5170166258902013;0,4857947528362274;0,964558720588684;0,8088114261627197;0,6170224547386169;0,9184803366661072;0,8224438801407815;0,9217345416545868;0,9114589691162109;0,8647898770868778;0,9348124623298645;0,9142705798149109;0,8578207142651081;0,9097016407893255;0,8976784944534302;0,8424859267587845;0,9220223650336266;0,9006854370236397;0,8079139599576592
25;Toulouse;0,3581669136766866;0,6144039140028933;0,7582265734672546;0,9873051643371582;0,932761013507843;0,7483555674552917;0,9846110343933104;0,9344101063907145;0,9156532233411615;0,9181815710934725;0,877861412242055;0,9343873659769694;0,9097927610079447;0,8574948851019144;0,9047344028949738;0,8998169302940369;0,8284169621765614;0,9059502946005927;0,903639124499427;0,8190069782237211
26;Vilnius;0,3922707691902188;0,6397795309771449;0,6984315514564514;0,9812891483306884;0,9475020170211792;0,7213423252105713;0,964779794216156;0,9644653104478494;;;;;;;;;;;;
27;Wolfsburg;;;0,8642742037773132;0,9748333096504213;0,8630341291427612;0,8945623636245728;0,987909495830536;0,8814059719443323;;;;;;;;;;;;
28;Zurich;0,32114046144069647;0,5139007586579081;0,7846906185150146;0,9774671792984008;0,9432776570320128;0,8477968573570251;0,9744462966918944;0,9414243698120116;0,9142814055085182;0,9184298664331436;0,8782756631262602;0,905627157006945;0,9078548891203744;0,8548804670572281;0,8998587131500244;0,8952099134524664;0,8350028650214275;0,9138379163212247;0,8790173927942911;0,7861237737039725
